subject_id,photo_id,image_path,ankle,arm-length,bicep,calf,chest,forearm,height,hip,leg-length,shoulder-breadth,shoulder-to-crotch,thigh,waist,wrist
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,c4a623b8c695bc7117fe33fb477e21d8,train/mask/c4a623b8c695bc7117fe33fb477e21d8.png,24.38,46.0,29.44,37.12,113.55,25.03,160.16,106.76,72.85,35.04,60.53,54.91,107.03,16.71
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,254f7acb644d4113edf94a6fa3b3d152,train/mask/254f7acb644d4113edf94a6fa3b3d152.png,24.38,46.0,29.44,37.12,113.55,25.03,160.16,106.76,72.85,35.04,60.53,54.91,107.03,16.71
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,12f608093cac0c52a41a855c694a586d,train/mask/12f608093cac0c52a41a855c694a586d.png,24.38,46.0,29.44,37.12,113.55,25.03,160.16,106.76,72.85,35.04,60.53,54.91,107.03,16.71
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,bce33b8d3f0fbe2fb08b80f7356ef4a2,train/mask/bce33b8d3f0fbe2fb08b80f7356ef4a2.png,24.38,46.0,29.44,37.12,113.55,25.03,160.16,106.76,72.85,35.04,60.53,54.91,107.03,16.71
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,f7ac8f3ee0645855f088cc8d213198a0,train/mask/f7ac8f3ee0645855f088cc8d213198a0.png,24.38,46.0,29.44,37.12,113.55,25.03,160.16,106.76,72.85,35.04,60.53,54.91,107.03,16.71
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,084a938ea27cfe695205db36f9ad3145,train/mask/084a938ea27cfe695205db36f9ad3145.png,24.38,46.0,29.44,37.12,113.55,25.03,160.16,106.76,72.85,35.04,60.53,54.91,107.03,16.71
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,06284964e245e85c88a24e8036f36ddc,train/mask/06284964e245e85c88a24e8036f36ddc.png,24.38,46.0,29.44,37.12,113.55,25.03,160.16,106.76,72.85,35.04,60.53,54.91,107.03,16.71
-ENkfo777FGDxVRXMHmkujRtZle23u0_smgNc2pQuUY,aac7c8bc568e32a2b6a3d8ecc2be2316,train/mask/aac7c8bc568e32a2b6a3d8ecc2be2316.png,24.88,46.43,29.91,39.28,94.17,25.16,162.01,102.33,75.34,33.1,59.27,55.39,85.31,16.61
-ENkfo777FGDxVRXMHmkujRtZle23u0_smgNc2pQuUY,85b3dc8094cbcdf68632fdfc2bdbdbb9,train/mask/85b3dc8094cbcdf68632fdfc2bdbdbb9.png,24.88,46.43,29.91,39.28,94.17,25.16,162.01,102.33,75.34,33.1,59.27,55.39,85.31,16.61
-ENkfo777FGDxVRXMHmkujRtZle23u0_smgNc2pQuUY,66ce4906e1dedb7e1cb8b8b770bbf490,train/mask/66ce4906e1dedb7e1cb8b8b770bbf490.png,24.88,46.43,29.91,39.28,94.17,25.16,162.01,102.33,75.34,33.1,59.27,55.39,85.31,16.61
-ENkfo777FGDxVRXMHmkujRtZle23u0_smgNc2pQuUY,30b50a81ba3e1ceedfdbb9a368a5ec76,train/mask/30b50a81ba3e1ceedfdbb9a368a5ec76.png,24.88,46.43,29.91,39.28,94.17,25.16,162.01,102.33,75.34,33.1,59.27,55.39,85.31,16.61
-ENkfo777FGDxVRXMHmkujRtZle23u0_smgNc2pQuUY,1a617423c42c0419a632b28d5f6a2e92,train/mask/1a617423c42c0419a632b28d5f6a2e92.png,24.88,46.43,29.91,39.28,94.17,25.16,162.01,102.33,75.34,33.1,59.27,55.39,85.31,16.61
-ENkfo777FGDxVRXMHmkujRtZle23u0_smgNc2pQuUY,8f12519aa9e41d4ee8592d1b344ad5b0,train/mask/8f12519aa9e41d4ee8592d1b344ad5b0.png,24.88,46.43,29.91,39.28,94.17,25.16,162.01,102.33,75.34,33.1,59.27,55.39,85.31,16.61
-EujjqWPZ_L0NO_RqgxJ79mA23Tjj33cYAoFaysL4I0,9554c0272e9838ecd21efa04fcb53973,train/mask/9554c0272e9838ecd21efa04fcb53973.png,22.74,45.38,32.75,37.94,122.96,26.9,155.55,114.8,68.07,35.91,59.72,57.1,112.94,16.8
-JvTra6b-sTRKwQQZ6DHxXMuRtvz2X0fkXKyrXyrcrk,a040c302ff99965ebe367b063d19ee20,train/mask/a040c302ff99965ebe367b063d19ee20.png,24.74,50.97,30.68,35.23,95.78,27.32,174.07,96.92,81.3,35.66,65.11,50.87,82.21,17.29
-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,7d1f50c43f01c5945dc00ba07af0228e,train/mask/7d1f50c43f01c5945dc00ba07af0228e.png,25.37,53.51,39.01,40.85,122.19,33.71,180.67,110.95,85.38,40.04,67.53,56.81,109.36,19.35
-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,2bdf0d2809368c3baa494c98f1fec717,train/mask/2bdf0d2809368c3baa494c98f1fec717.png,25.37,53.51,39.01,40.85,122.19,33.71,180.67,110.95,85.38,40.04,67.53,56.81,109.36,19.35
-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,b51a1ea0bbf99b180b41dc329bade134,train/mask/b51a1ea0bbf99b180b41dc329bade134.png,25.37,53.51,39.01,40.85,122.19,33.71,180.67,110.95,85.38,40.04,67.53,56.81,109.36,19.35
-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,c3d792e85931ccde7b0283c7f7ade11f,train/mask/c3d792e85931ccde7b0283c7f7ade11f.png,25.37,53.51,39.01,40.85,122.19,33.71,180.67,110.95,85.38,40.04,67.53,56.81,109.36,19.35
-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,f7d58689433ecc8df939acc88973e2ea,train/mask/f7d58689433ecc8df939acc88973e2ea.png,25.37,53.51,39.01,40.85,122.19,33.71,180.67,110.95,85.38,40.04,67.53,56.81,109.36,19.35
-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,45ed2ce82e2773d550daf196c0c5cc98,train/mask/45ed2ce82e2773d550daf196c0c5cc98.png,25.37,53.51,39.01,40.85,122.19,33.71,180.67,110.95,85.38,40.04,67.53,56.81,109.36,19.35
-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,ce2846f0341ce602678ceea918d70055,train/mask/ce2846f0341ce602678ceea918d70055.png,25.37,53.51,39.01,40.85,122.19,33.71,180.67,110.95,85.38,40.04,67.53,56.81,109.36,19.35
-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,1d558f7b9774e6f5a8b87fe235db857b,train/mask/1d558f7b9774e6f5a8b87fe235db857b.png,25.37,53.51,39.01,40.85,122.19,33.71,180.67,110.95,85.38,40.04,67.53,56.81,109.36,19.35
-PYkXBwbmZJNo9F8GNPxL69Oy0c4qhIOD6Zz1lLN7jA,5fc141179dda05ccb315c2806eeb9cf8,train/mask/5fc141179dda05ccb315c2806eeb9cf8.png,25.83,51.06,28.88,36.16,101.9,26.73,177.22,99.22,80.63,37.82,68.61,50.75,84.89,17.3
-PYkXBwbmZJNo9F8GNPxL69Oy0c4qhIOD6Zz1lLN7jA,a3186a8ea4f4dea9b0713a391e30db37,train/mask/a3186a8ea4f4dea9b0713a391e30db37.png,25.83,51.06,28.88,36.16,101.9,26.73,177.22,99.22,80.63,37.82,68.61,50.75,84.89,17.3
-QVnfQ26qAbPK2NBge_b9gErXDn4CdOYWdc4fILEjjQ,dff3637a8300a43b463a162f2171bf0e,train/mask/dff3637a8300a43b463a162f2171bf0e.png,22.11,42.74,27.42,35.65,89.47,23.59,158.34,94.87,70.55,31.47,58.75,51.8,77.15,15.87
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,b403e9bada264bfc40a541acd59db576,train/mask/b403e9bada264bfc40a541acd59db576.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,b71abd8585d1243729f8c1c78ed13f7b,train/mask/b71abd8585d1243729f8c1c78ed13f7b.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,f072ebfc48919ef07c786717e8ef7dd2,train/mask/f072ebfc48919ef07c786717e8ef7dd2.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,ec74a50e1819bef59b62476dd4226925,train/mask/ec74a50e1819bef59b62476dd4226925.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,5d1f955b63f176fc68debead94c7a130,train/mask/5d1f955b63f176fc68debead94c7a130.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,30d6ea855d2ab7c7b2184cb158316b99,train/mask/30d6ea855d2ab7c7b2184cb158316b99.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,b97a1703a7219232212106fc43fa3825,train/mask/b97a1703a7219232212106fc43fa3825.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,51848d7dcb33156a3fa35187b42b2904,train/mask/51848d7dcb33156a3fa35187b42b2904.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,a3a93b671f498d378cef9b77daefb7c9,train/mask/a3a93b671f498d378cef9b77daefb7c9.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,5e2a308232e806d757d7e5baeedc7915,train/mask/5e2a308232e806d757d7e5baeedc7915.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,00e41e2dfd7b6110d0533280665fc9a2,train/mask/00e41e2dfd7b6110d0533280665fc9a2.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,954712b2eb9b7e4d41bb849009843276,train/mask/954712b2eb9b7e4d41bb849009843276.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,55893e6b63c527d73d4b27940a485eb4,train/mask/55893e6b63c527d73d4b27940a485eb4.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,4695ecc7e3ee921f5db4ed3c0c25526f,train/mask/4695ecc7e3ee921f5db4ed3c0c25526f.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,d00b7799725d8dc5fcb69084476a855d,train/mask/d00b7799725d8dc5fcb69084476a855d.png,26.18,50.91,28.23,37.58,98.27,26.48,176.38,95.8,79.86,36.73,66.34,52.33,79.05,16.41
-cVyBck9teEIqY0XFjfj5XuSX-RPHG8mWNFEaP5wDWE,4122d01d913e03ae394f8cd3666c7df8,train/mask/4122d01d913e03ae394f8cd3666c7df8.png,22.31,43.67,31.95,37.77,106.54,27.21,156.62,103.14,69.95,34.37,59.05,56.3,85.89,17.69
-c_G-UGrzClrDaGeYF9dAts4LHTS7ucdaBFDpn_sOE0,7283add526661fbd3198a4f6ae3bb86a,train/mask/7283add526661fbd3198a4f6ae3bb86a.png,25.29,49.61,29.87,39.48,99.97,26.24,172.87,108.07,78.5,34.66,63.55,58.39,90.38,16.21
-c_G-UGrzClrDaGeYF9dAts4LHTS7ucdaBFDpn_sOE0,c86badd86983b50f3bdf6ae7358b1542,train/mask/c86badd86983b50f3bdf6ae7358b1542.png,25.29,49.61,29.87,39.48,99.97,26.24,172.87,108.07,78.5,34.66,63.55,58.39,90.38,16.21
-f435rmMBWdNpQenjlVoMqciq2qSKrVkdrcdeBhFadA,a477b468b6c57e5f308cf3f223f4b790,train/mask/a477b468b6c57e5f308cf3f223f4b790.png,22.53,49.22,26.9,35.37,94.23,22.57,166.54,102.52,77.68,33.06,59.39,53.33,82.11,14.19
-f435rmMBWdNpQenjlVoMqciq2qSKrVkdrcdeBhFadA,78e93894e0a1ab3fb4a0bba5d6f7fa2a,train/mask/78e93894e0a1ab3fb4a0bba5d6f7fa2a.png,22.53,49.22,26.9,35.37,94.23,22.57,166.54,102.52,77.68,33.06,59.39,53.33,82.11,14.19
-fxrku1rAPX8f7w4HIrk9oRUecKAfNNFJd1xriLbB2A,7ab1e46a10302f1f0b989a41a856164b,train/mask/7ab1e46a10302f1f0b989a41a856164b.png,22.06,51.94,29.01,34.99,97.82,24.35,168.27,97.56,80.8,34.31,62.24,50.94,90.4,15.61
-fxrku1rAPX8f7w4HIrk9oRUecKAfNNFJd1xriLbB2A,e43ae21d377ae58e7e751a7b58774aa8,train/mask/e43ae21d377ae58e7e751a7b58774aa8.png,22.06,51.94,29.01,34.99,97.82,24.35,168.27,97.56,80.8,34.31,62.24,50.94,90.4,15.61
-gMnbkDTbXza9PMNAhyVL5xBmz4VZQU_7eNooMMvalk,fe422f124ddec8e6833f32af5708a0f2,train/mask/fe422f124ddec8e6833f32af5708a0f2.png,25.13,53.44,27.76,37.1,93.89,25.06,181.03,98.18,84.93,33.03,64.01,53.06,81.5,16.28
-gMnbkDTbXza9PMNAhyVL5xBmz4VZQU_7eNooMMvalk,ffac6fa3a75ae438da0b4ab63bafdf30,train/mask/ffac6fa3a75ae438da0b4ab63bafdf30.png,25.13,53.44,27.76,37.1,93.89,25.06,181.03,98.18,84.93,33.03,64.01,53.06,81.5,16.28
-gXu1nZDGq7CwAyObp3f3MhE0r5BBxuer9T15M92u-U,6f46e46375054c9b5c0451f93095579a,train/mask/6f46e46375054c9b5c0451f93095579a.png,20.93,46.21,29.48,33.44,92.39,24.06,158.75,93.68,74.02,32.34,56.49,54.13,79.96,14.58
-gXu1nZDGq7CwAyObp3f3MhE0r5BBxuer9T15M92u-U,e49cbfe7022e8d2e4b9061403bdb80c1,train/mask/e49cbfe7022e8d2e4b9061403bdb80c1.png,20.93,46.21,29.48,33.44,92.39,24.06,158.75,93.68,74.02,32.34,56.49,54.13,79.96,14.58
-gXu1nZDGq7CwAyObp3f3MhE0r5BBxuer9T15M92u-U,a4b604f813e9e004153741ff2fdc49a3,train/mask/a4b604f813e9e004153741ff2fdc49a3.png,20.93,46.21,29.48,33.44,92.39,24.06,158.75,93.68,74.02,32.34,56.49,54.13,79.96,14.58
-gXu1nZDGq7CwAyObp3f3MhE0r5BBxuer9T15M92u-U,a22fc940a48910de63187c5b8b967356,train/mask/a22fc940a48910de63187c5b8b967356.png,20.93,46.21,29.48,33.44,92.39,24.06,158.75,93.68,74.02,32.34,56.49,54.13,79.96,14.58
-kOx6TND-xhoWgxKctLcShlDXu7NGp1nFzUNlIqDC8E,54a37eb452f1ea141471abf6ca9e0d48,train/mask/54a37eb452f1ea141471abf6ca9e0d48.png,21.08,45.46,23.91,32.13,86.21,22.26,161.33,89.75,72.91,29.95,60.04,49.09,66.99,14.92
-nb6YMhnr5iOO8SbyCamexRSVRxegqztWFmTJZM2X94,41a78b103d38776077e906f89c321175,train/mask/41a78b103d38776077e906f89c321175.png,22.68,47.13,27.81,34.69,89.25,23.21,163.29,96.18,76.04,31.36,58.38,50.13,78.25,15.21
-sHYg3xM3uHrzxlrZ2to6JCRvfCROFtdR8BoEarbu0Y,5fed001021024982577fd2230715ba8f,train/mask/5fed001021024982577fd2230715ba8f.png,23.36,50.21,28.22,38.21,102.14,25.05,176.43,106.53,81.49,34.81,64.54,52.61,93.04,15.8
-sHYg3xM3uHrzxlrZ2to6JCRvfCROFtdR8BoEarbu0Y,185faae32f2b7bf98c913821cbbcdd2f,train/mask/185faae32f2b7bf98c913821cbbcdd2f.png,23.36,50.21,28.22,38.21,102.14,25.05,176.43,106.53,81.49,34.81,64.54,52.61,93.04,15.8
-tPcFq0SHXzMQftt6mXFdWmSVqSsNKLg1JAC31A9KO0,9d6268594be62ffe8be641de9b88ae43,train/mask/9d6268594be62ffe8be641de9b88ae43.png,22.58,49.14,26.12,34.13,94.67,25.71,166.28,88.92,75.44,35.87,63.75,47.28,80.27,16.66
-tPcFq0SHXzMQftt6mXFdWmSVqSsNKLg1JAC31A9KO0,e9611ed1334423073edfd60bf55a662e,train/mask/e9611ed1334423073edfd60bf55a662e.png,22.58,49.14,26.12,34.13,94.67,25.71,166.28,88.92,75.44,35.87,63.75,47.28,80.27,16.66
-wY6jmX5fMbDHGzalzW89SDwCtn9CsItOPr--Z2bKZA,aa8ffe91715a85348e7806633330d341,train/mask/aa8ffe91715a85348e7806633330d341.png,23.32,51.57,30.89,35.07,99.21,26.82,173.09,99.77,78.52,36.57,67.31,51.37,93.47,16.45
-wY6jmX5fMbDHGzalzW89SDwCtn9CsItOPr--Z2bKZA,35613df5b04636f5caa0487ef7fa8e24,train/mask/35613df5b04636f5caa0487ef7fa8e24.png,23.32,51.57,30.89,35.07,99.21,26.82,173.09,99.77,78.52,36.57,67.31,51.37,93.47,16.45
-ynFzSsRfz40hlq0nzQI-0iG7wNcnj_WYYSsdOyy5wI,393356c70ba851b975c0902f7ffe1c7a,train/mask/393356c70ba851b975c0902f7ffe1c7a.png,22.34,47.79,33.45,33.37,102.03,28.37,165.96,98.44,73.85,36.5,64.38,52.61,88.62,16.69
0-XhQ-_PmaT9DVwpTEiOdhAFo0CD2e5T-32D899sQpw,6541800b63e3f708f961befaa94d2603,train/mask/6541800b63e3f708f961befaa94d2603.png,24.35,51.8,30.54,38.4,105.04,27.08,184.34,105.42,81.87,38.14,70.82,50.47,98.82,16.86
04OpodqGqUfmMQC987slYUMexHpuafsAbhawWfRp7wo,e8d27740282dd6739b2ee02a2fe3e7a5,train/mask/e8d27740282dd6739b2ee02a2fe3e7a5.png,25.04,49.42,33.89,39.32,110.18,28.81,174.45,110.66,78.52,38.54,67.51,57.38,99.96,17.18
04OpodqGqUfmMQC987slYUMexHpuafsAbhawWfRp7wo,96e2a5bceb2acb7fd7e5b9234505ff4f,train/mask/96e2a5bceb2acb7fd7e5b9234505ff4f.png,25.04,49.42,33.89,39.32,110.18,28.81,174.45,110.66,78.52,38.54,67.51,57.38,99.96,17.18
05QGDWJaVnG3hO2Zc44lxI6oajSeypzBye5n7HiDOyE,638d80d42197a9f8cfa5ea8575c66782,train/mask/638d80d42197a9f8cfa5ea8575c66782.png,23.41,52.99,33.27,36.33,112.51,28.2,177.66,104.48,82.27,38.18,67.32,53.32,107.34,17.59
05QGDWJaVnG3hO2Zc44lxI6oajSeypzBye5n7HiDOyE,78460663760f9b444ea449804526cf83,train/mask/78460663760f9b444ea449804526cf83.png,23.41,52.99,33.27,36.33,112.51,28.2,177.66,104.48,82.27,38.18,67.32,53.32,107.34,17.59
05QGDWJaVnG3hO2Zc44lxI6oajSeypzBye5n7HiDOyE,d6f16ee870978d1428896d8501115885,train/mask/d6f16ee870978d1428896d8501115885.png,23.41,52.99,33.27,36.33,112.51,28.2,177.66,104.48,82.27,38.18,67.32,53.32,107.34,17.59
07e9Xq9EyvLh2Ub1D-IrXCKwYPbtbcKliFRPevZsW5Q,a7ddb7ffd1109dcc3034e64f1d55cb51,train/mask/a7ddb7ffd1109dcc3034e64f1d55cb51.png,25.25,49.73,29.83,35.58,102.68,27.33,171.53,98.98,77.57,36.68,65.53,50.32,92.91,17.12
